callsign,icao24,latitude,longitude,on_ground,origin_country,velocity,baro_alt,vertical_rate,category,geo_altitude,airline_code,velocity_knots,vertical_rate_fpm,baro_alt_fpm
ELY2372,738050,42.4214,26.143,False,Israel,257.92,10668.0,0.33,0,11239.5,ELY,501.35521,64.9605,10668.0
ELY238,738056,40.3881,26.0507,False,Israel,257.36,10668.0,0.0,0,11269.98,ELY,500.26666,0.0,10668.0
AUA83N,44006e,36.5059,28.1445,False,Austria,135.13,2834.64,-3.25,0,3048.0,AUA,262.6711,-639.7624999999999,2834.64
MEA229,500214,36.5428,26.5943,False,San Marino,227.59,9753.6,0.0,0,10401.3,MEA,442.39855,0.0,9753.6
MEA232,5001e3,40.5704,25.6061,False,San Marino,257.85,10668.0,0.0,0,11285.22,MEA,501.21914,0.0,10668.0
WZZ2VN,471d63,40.1195,40.4979,False,Hungary,220.59,10370.82,-0.33,0,11323.32,WZZ,428.79167,-64.9605,10370.82
UAE25K,896192,40.3545,26.1829,False,United Arab Emirates,275.44,12496.8,0.0,0,13129.26,UAE,535.41129,0.0,12496.8
UAE9N,89618a,40.8708,29.5986,False,United Arab Emirates,135.25,3680.46,-4.88,0,3954.78,UAE,262.90436,-960.6279999999999,3680.46
AIZ336,452199,38.8949,26.7189,False,Bulgaria,258.4,10668.0,0.0,0,11300.46,AIZ,502.28826,0.0,10668.0
TCHAR,4ba032,36.7606,28.0689,False,Turkey,48.44,320.04,-2.93,0,381.0,TCH,94.15961,-576.7705,320.04
TKJ2TA,4bd8c2,40.4511,39.8297,False,Turkey,215.18,10972.8,0.33,0,11460.48,TKJ,418.27549,64.9605,10972.8
TKJ41E,4bb2ae,36.6752,30.7619,False,Turkey,93.68,952.5,0.0,0,1021.08,TKJ,182.09893,0.0,952.5
TKJ80T,4bb2af,38.8245,27.3552,False,Turkey,155.47,6118.86,-1.63,0,6530.34,TKJ,302.2088,-320.8655,6118.86
TKJ9CK,4bb2a3,40.8014,29.0408,False,Turkey,142.2,1645.92,7.48,0,1798.32,TKJ,276.41405,1472.438,1645.92
THY2QJ,4bb1e8,39.9926,27.0968,False,Turkey,235.51,9753.6,0.0,0,10363.2,THY,457.79376,0.0,9753.6
THY51Z,4bb1c6,41.9683,27.4222,False,Turkey,197.52,6880.86,5.2,0,7292.34,THY,383.94728,1023.62,6880.86
ETD3XA,8962e6,42.2143,29.8025,False,United Arab Emirates,277.35,10668.0,-0.33,0,11193.78,ETD,539.12402,-64.9605,10668.0
TKJ4ZV,4bb295,42.262,27.6477,False,Turkey,208.08,10515.6,7.15,0,11071.86,TKJ,404.47423,1407.4775,10515.6
THY2VS,4bb292,41.2526,28.7279,False,Turkey,67.91,99.06,-2.93,0,205.74,THY,132.00617,-576.7705,99.06
ISR878,73828a,37.4825,34.9169,False,Israel,234.05,10668.0,0.0,0,11247.12,ISR,454.95575,0.0,10668.0
THY662,4bb279,41.0386,28.1498,False,Turkey,140.47,1737.36,-2.6,0,1897.38,THY,273.0512,-511.81,1737.36
TOM533,4079a9,37.9456,27.2131,False,United Kingdom,223.93,9837.42,6.5,0,10431.78,TOM,435.28409,1279.5249999999999,9837.42
THY1RT,4bb0ec,41.4282,27.4943,False,Turkey,184.36,5852.16,-4.23,0,6210.3,THY,358.36634,-832.6755,5852.16
THY3ES,4bb0eb,40.9729,28.6917,False,Turkey,104.78,868.68,-0.65,0,990.6,THY,203.67556,-127.9525,868.68
THY48L,4bb0e9,36.7906,33.3481,False,Turkey,227.56,12192.0,0.0,0,12847.32,THY,442.34023,0.0,12192.0
THY4DU,4bb209,40.9252,28.7735,False,Turkey,83.75,1691.64,-3.25,0,1851.66,THY,162.7966,-639.7624999999999,1691.64
THY6GD,4bb206,41.4757,27.9951,False,Turkey,158.63,4274.82,-7.48,0,4564.38,THY,308.35134,-1472.438,4274.82
THY46P,4bb214,40.9883,28.0919,False,Turkey,131.41,2667.0,-4.88,0,2887.98,THY,255.44001,-960.6279999999999,2667.0
THY9HP,4bb20d,39.1241,36.264,False,Turkey,242.56,10675.62,0.0,0,11224.26,THY,471.49783,0.0,10675.62
CPA007,780a3f,41.195,39.15,False,China,247.22,9753.6,0.0,6,10187.94,CPA,480.55612,0.0,9753.6
UAE7CN,8963f3,38.1692,30.336,False,United Arab Emirates,279.36,12496.8,-0.33,0,13144.5,UAE,543.03114,-64.9605,12496.8
,4bb189,41.4377,29.3698,False,Turkey,147.3,3002.28,-2.6,0,3314.7,,286.32763,-511.81,3002.28
THY6143,4bb156,39.5344,38.3699,False,Turkey,258.97,11887.2,0.0,0,12428.22,THY,503.39624,0.0,11887.2
THY6355,4bb154,41.4684,29.0371,False,Turkey,149.47,4572.0,0.0,0,4869.18,THY,290.54576,0.0,4572.0
THY6533,4bb150,41.9706,28.1236,False,Turkey,216.51,7101.84,11.05,0,7513.32,THY,420.8608,2175.1925,7101.84
TOM6BY,4067f0,42.1509,25.9666,False,United Kingdom,250.14,11277.6,0.0,0,11864.34,TOM,486.23214,0.0,11277.6
